step,timestamp,index_price,option_mid,option_delta,market_bid,market_ask,market_spread,cash,inventory,net_delta,reservation_price,lp_bid,lp_ask,lp_spread,pnl,time_remaining,total_trades,total_bought,total_sold,hedge_position,total_hedges,bid_inside_market,ask_inside_market
0,0.0,1131.91,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,45.35,45.6,0.25,0.0,1.0,0,0,0,0,0,True,True
1,1.0,1131.91,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,45.35,45.6,0.25,0.0,0.9999537037037037,0,0,0,0,0,True,True
2,2.0,1131.91,45.525,0.3984,45.4,45.65,0.25,0.0,0,0.0,45.525,45.35,45.650000000000006,0.30000000000000426,0.0,0.9999074074074074,0,0,0,0,0,False,False
3,3.0,1131.91,45.5,0.3984,45.35,45.65,0.29999999999999716,0.0,0,0.0,45.5,45.35,45.650000000000006,0.30000000000000426,0.0,0.9998611111111111,0,0,0,0,0,True,False
4,4.0,1131.91,45.525,0.3985,45.4,45.65,0.25,0.0,0,0.0,45.525,45.35,45.650000000000006,0.30000000000000426,0.0,0.9998148148148148,0,0,0,0,0,False,False
5,5.0,1131.91,45.525,0.3983,45.4,45.65,0.25,0.0,0,0.0,45.525,45.35,45.650000000000006,0.30000000000000426,0.0,0.9997685185185186,0,0,0,0,0,False,False
6,6.0,1131.91,45.525,0.3982,45.4,45.65,0.25,0.0,0,0.0,45.525,45.35,45.650000000000006,0.30000000000000426,0.0,0.9997222222222222,0,0,0,0,0,False,False
7,7.0,1131.91,45.525,0.3986,45.4,45.65,0.25,0.0,0,0.0,45.525,45.35,45.650000000000006,0.30000000000000426,0.0,0.9996759259259259,0,0,0,0,0,False,False
8,8.0,1131.91,45.5,0.3983,45.35,45.65,0.29999999999999716,0.0,0,0.0,45.5,45.35,45.650000000000006,0.30000000000000426,0.0,0.9996296296296296,0,0,0,0,0,True,False
9,9.0,1131.91,45.45,0.3983,45.3,45.6,0.30000000000000426,0.0,0,0.0,45.45,45.25,45.650000000000006,0.4000000000000057,0.0,0.9995833333333334,0,0,0,0,0,False,False
10,10.0,1131.94,45.425,0.3986,45.3,45.55,0.25,0.0,0,0.0,45.425,45.25,45.550000000000004,0.30000000000000426,0.0,0.999537037037037,0,0,0,0,0,False,False
11,11.0,1131.94,45.425,0.3983,45.3,45.55,0.25,0.0,0,0.0,45.425,45.25,45.550000000000004,0.30000000000000426,0.0,0.9994907407407407,0,0,0,0,0,False,False
12,12.0,1131.94,45.475,0.3983,45.35,45.6,0.25,0.0,0,0.0,45.475,45.35,45.6,0.25,0.0,0.9994444444444445,0,0,0,0,0,True,True
13,13.0,1131.94,45.45,0.3984,45.3,45.6,0.30000000000000426,0.0,0,0.0,45.45,45.25,45.650000000000006,0.4000000000000057,0.0,0.9993981481481482,0,0,0,0,0,False,False
14,14.0,1131.94,45.45,0.3985,45.3,45.6,0.30000000000000426,0.0,0,0.0,45.45,45.25,45.650000000000006,0.4000000000000057,0.0,0.9993518518518518,0,0,0,0,0,False,False
15,15.0,1131.94,45.425,0.3985,45.3,45.55,0.25,0.0,0,0.0,45.425,45.25,45.550000000000004,0.30000000000000426,0.0,0.9993055555555556,0,0,0,0,0,False,False
16,16.0,1131.94,45.425,0.3983,45.3,45.55,0.25,0.0,0,0.0,45.425,45.25,45.550000000000004,0.30000000000000426,0.0,0.9992592592592593,0,0,0,0,0,False,False
17,17.0,1131.94,45.475,0.3985,45.35,45.6,0.25,0.0,0,0.0,45.475,45.35,45.6,0.25,0.0,0.9992129629629629,0,0,0,0,0,True,True
18,18.0,1131.94,45.425,0.3983,45.3,45.55,0.25,0.0,0,0.0,45.425,45.25,45.550000000000004,0.30000000000000426,0.0,0.9991666666666666,0,0,0,0,0,False,False
